Tür,Program
önlisans,İNSAN KAYNAKLARI YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,İNSANSIZ ARAÇ TEKNİKERLİĞİ
önlisans,İNSANSIZ ARAÇ TEKNİKERLİĞİ
önlisans,İNSANSIZ HAVA ARACI TEKNOLOJİSİ VE OPERATÖRLÜĞÜ
önlisans,İNŞAAT TEKNOLOJİSİ
önlisans,İNTERNET VE AĞ TEKNOLOJİLERİ
önlisans,İSLAMİ İLİMLER (AÇIKÖĞRETİM)
önlisans,İŞ MAKİNELERİ OPERATÖRLÜĞÜ
önlisans,İŞ SAĞLIĞI VE GÜVENLİĞİ
önlisans,İŞ SAĞLIĞI VE GÜVENLİĞİ (AÇIKÖĞRETİM)
önlisans,İŞ VE UĞRAŞI TERAPİSİ
önlisans,İŞLETME YÖNETİMİ
önlisans,İŞLETME YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,KAYNAK TEKNOLOJİSİ
önlisans,KENEVİR DOKUMACILIĞI
önlisans,KİMYA TEKNOLOJİSİ
önlisans,KONTROL VE OTOMASYON TEKNOLOJİSİ
önlisans,KOOPERATİFÇİLİK
önlisans,KOZMETİK TEKNOLOJİSİ
önlisans,KURUMSAL BİLİŞİM UZMANLIĞI
önlisans,KUYUMCULUK VE TAKI TASARIMI
önlisans,KÜLTÜREL MİRAS VE TURİZM
önlisans,KÜLTÜREL MİRAS VE TURİZM (AÇIKÖĞRETİM)
önlisans,KÜMES HAYVANLARI YETİŞTİRİCİLİĞİ
önlisans,LABORANT VE VETERİNER SAĞLIK
önlisans,LABORANT VE VETERİNER SAĞLIK (AÇIKÖĞRETİM)
önlisans,LABORATUVAR TEKNOLOJİSİ
önlisans,LOJİSTİK
önlisans,LOJİSTİK (AÇIKÖĞRETİM)
önlisans,MADENCİLİK TEKNOLOJİSİ
önlisans,MAHKEME BÜRO HİZMETLERİ
önlisans,MAKİNE
önlisans,MAKİNE RESİM VE KONSTRÜKSİYONU
önlisans,MALİYE
önlisans,MANTARCILIK
önlisans,MARİNA VE YAT İŞLETMECİLİĞİ
önlisans,MARKA İLETİŞİMİ (AÇIKÖĞRETİM)
önlisans,MEDYA VE İLETİŞİM
önlisans,MEDYA VE İLETİŞİM (AÇIKÖĞRETİM)
önlisans,MEKATRONİK
önlisans,MENKUL KIYMETLER VE SERMAYE PİYASASI
önlisans,MENKUL KIYMETLER VE SERMAYE PİYASASI (AÇIKÖĞRETİM)
önlisans,MERMER TEKNOLOJİSİ
önlisans,METALURJİ
önlisans,MEYVE VE SEBZE İŞLEME TEKNOLOJİSİ
önlisans,MİMARİ DEKORATİF SANATLAR
önlisans,MİMARİ RESTORASYON
önlisans,MOBİL TEKNOLOJİLERİ
önlisans,MOBİLYA VE DEKORASYON
önlisans,MODA TASARIMI
önlisans,MODA YÖNETİMİ
önlisans,MUHASEBE VE VERGİ UYGULAMALARI
önlisans,MUHASEBE VE VERGİ UYGULAMALARI (AÇIKÖĞRETİM)
önlisans,NÜFUS VE VATANDAŞLIK
önlisans,NÜKLEER TEKNOLOJİ VE RADYASYON GÜVENLİĞİ
önlisans,NÜKLEER TIP TEKNİKLERİ
önlisans,ODYOMETRİ
önlisans,OPTİSYENLİK
önlisans,ORGANİK TARIM
önlisans,ORMANCILIK VE ORMAN ÜRÜNLERİ
önlisans,ORTOPEDİK PROTEZ VE ORTEZ
önlisans,OTOBÜS KAPTANLIĞI
önlisans,OTOMOTİV GÖVDE VE YÜZEY İŞLEM TEKNOLOJİLERİ
önlisans,OTOMOTİV TEKNOLOJİSİ
önlisans,OTONOM SİSTEMLER TEKNİKERLİĞİ
önlisans,OTOPSİ YARDIMCILIĞI
önlisans,OYUN GELİŞTİRME VE PROGRAMLAMA
önlisans,ÖN-YÜZ YAZILIM GELİŞTİRME
önlisans,ÖZEL GÜVENLİK VE KORUMA
önlisans,PASTACILIK VE EKMEKÇİLİK
önlisans,PATOLOJİ LABORATUVAR TEKNİKLERİ
önlisans,PAZARLAMA
önlisans,PERAKENDE SATIŞ VE MAĞAZA YÖNETİMİ
önlisans,PERAKENDE SATIŞ VE MAĞAZA YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,PEYZAJ VE SÜS BİTKİLERİ YETİŞTİRİCİLİĞİ
önlisans,PODOLOJİ
önlisans,POLİMER TEKNOLOJİSİ
önlisans,POSTA HİZMETLERİ
önlisans,RADYO VE TELEVİZYON PROGRAMCILIĞI
önlisans,RADYO VE TELEVİZYON PROGRAMCILIĞI (AÇIKÖĞRETİM)
önlisans,RADYO VE TELEVİZYON TEKNOLOJİSİ
önlisans,RADYOTERAPİ
önlisans,RAFİNERİ VE PETRO-KİMYA TEKNOLOJİSİ
önlisans,RAYLI SİSTEMLER ELEKTRİK VE ELEKTRONİK
önlisans,RAYLI SİSTEMLER İŞLETMECİLİĞİ
önlisans,RAYLI SİSTEMLER MAKİNE TEKNOLOJİSİ
önlisans,RAYLI SİSTEMLER MAKİNİSTLİĞİ
önlisans,RAYLI SİSTEMLER YOL TEKNOLOJİSİ
önlisans,REKLAMCILIK
önlisans,REKLAMCILIK (AÇIKÖĞRETİM)
önlisans,ROBOTİK VE YAPAY ZEKÂ
önlisans,SAÇ BAKIMI VE GÜZELLİK HİZMETLERİ
önlisans,SAĞLIK BİLGİ SİSTEMLERİ TEKNİKERLİĞİ
önlisans,SAĞLIK KURUMLARI İŞLETMECİLİĞİ
önlisans,SAĞLIK KURUMLARI İŞLETMECİLİĞİ (AÇIKÖĞRETİM)
önlisans,SAĞLIK TURİZMİ İŞLETMECİLİĞİ
önlisans,SAHNE IŞIK VE SES TEKNOLOJİLERİ
önlisans,SAHNE VE DEKOR TASARIMI
önlisans,SANAL VE ARTIRILMIŞ GERÇEKLİK
önlisans,SERACILIK
önlisans,SERAMİK VE CAM TASARIMI
önlisans,SİBER GÜVENLİK
önlisans,SİBER GÜVENLİK ANALİSTLİĞİ VE OPERATÖRLÜĞÜ
önlisans,SİLAH SANAYİ TEKNİKERLİĞİ
önlisans,SİVİL HAVA ULAŞTIRMA İŞLETMECİLİĞİ
önlisans,SİVİL HAVA ULAŞTIRMA İŞLETMECİLİĞİ (AÇIKÖĞRETİM)
önlisans,SİVİL HAVACILIK KABİN HİZMETLERİ
önlisans,SİVİL SAVUNMA VE İTFAİYECİLİK
önlisans,SONDAJ TEKNOLOJİSİ
önlisans,SOSYAL GÜVENLİK
önlisans,SOSYAL HİZMETLER
önlisans,SOSYAL HİZMETLER (AÇIKÖĞRETİM)
önlisans,SOSYAL MEDYA YÖNETİCİLİĞİ (AÇIKÖĞRETİM)
önlisans,SPOR YÖNETİMİ
önlisans,SPOR YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,SU ALTI KAYNAK TEKNOLOJİSİ
önlisans,SU ALTI TEKNOLOJİSİ
önlisans,SU ÜRÜNLERİ İŞLEME TEKNOLOJİSİ
önlisans,SULAMA TEKNOLOJİSİ
önlisans,SÜT VE BESİ HAYVANCILIĞI
önlisans,SÜT VE ÜRÜNLERİ TEKNOLOJİSİ
önlisans,ŞARAP ÜRETİM TEKNOLOJİSİ
önlisans,TAHRİBATSIZ MUAYENE
önlisans,TAPU VE KADASTRO
önlisans,TARIM MAKİNELERİ
önlisans,TARIM TEKNOLOJİSİ (AÇIKÖĞRETİM)
önlisans,TARIMSAL İŞLETMECİLİK
önlisans,TARLA BİTKİLERİ
önlisans,TEKSTİL TEKNOLOJİSİ
önlisans,TEKSTİL VE HALI MAKİNELERİ
önlisans,TIBBİ DOKÜMANTASYON VE SEKRETERLİK
önlisans,TIBBİ DOKÜMANTASYON VE SEKRETERLİK (AÇIKÖĞRETİM)
önlisans,TIBBİ GÖRÜNTÜLEME TEKNİKLERİ
önlisans,TIBBİ LABORATUVAR TEKNİKLERİ
önlisans,TIBBİ TANITIM VE PAZARLAMA
önlisans,TIBBİ VE AROMATİK BİTKİLER
önlisans,TOHUMCULUK TEKNOLOJİSİ
önlisans,TURİST REHBERLİĞİ
önlisans,TURİZM ANİMASYONU
önlisans,TURİZM VE OTEL İŞLETMECİLİĞİ
önlisans,TURİZM VE OTEL İŞLETMECİLİĞİ (AÇIKÖĞRETİM)
önlisans,TURİZM VE SEYAHAT HİZMETLERİ
önlisans,UÇAK TEKNOLOJİSİ
önlisans,UÇUŞ HAREKAT YÖNETİCİLİĞİ
önlisans,ULAŞTIRMA VE TRAFİK HİZMETLERİ
önlisans,UN VE UNLU MAMULLER TEKNOLOJİSİ
önlisans,UYGULAMALI İNGİLİZCE ÇEVİRMENLİK
önlisans,UYGULAMALI İSPANYOLCA ÇEVİRMENLİK
önlisans,ÜRETİMDE KALİTE KONTROL
önlisans,WEB TASARIMI VE KODLAMA
önlisans,WEB TASARIMI VE KODLAMA (AÇIKÖĞRETİM)
önlisans,YAĞ ENDÜSTRİSİ
önlisans,YAPAY ZEKÂ OPERATÖRLÜĞÜ
önlisans,YAPI DENETİMİ
önlisans,YAPI RESSAMLIĞI
önlisans,YAPI TESİSAT TEKNOLOJİSİ
önlisans,YAPI YALITIM TEKNOLOJİSİ
önlisans,YAŞLI BAKIMI
önlisans,YAŞLI BAKIMI (AÇIKÖĞRETİM)
önlisans,YAT KAPTANLIĞI
önlisans,YENİ MEDYA VE GAZETECİLİK (AÇIKÖĞRETİM)
önlisans,YEREL YÖNETİMLER
önlisans,YEREL YÖNETİMLER (AÇIKÖĞRETİM)
önlisans,ZEYTİNCİLİK VE ZEYTİN İŞLEME TEKNOLOJİSİ
