Tür,Üniversite Adı
Devlet Üniversiteleri,GAZİANTEP ÜNİVERSİTESİ
Devlet Üniversiteleri,GEBZE TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,GİRESUN ÜNİVERSİTESİ
Devlet Üniversiteleri,GÜMÜŞHANE ÜNİVERSİTESİ
Devlet Üniversiteleri,HACETTEPE ÜNİVERSİTESİ
Devlet Üniversiteleri,HAKKARİ ÜNİVERSİTESİ
Devlet Üniversiteleri,HARRAN ÜNİVERSİTESİ
Devlet Üniversiteleri,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ
Devlet Üniversiteleri,HİTİT ÜNİVERSİTESİ
Devlet Üniversiteleri,IĞDIR ÜNİVERSİTESİ
Devlet Üniversiteleri,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ
Devlet Üniversiteleri,İNÖNÜ ÜNİVERSİTESİ
Devlet Üniversiteleri,İSKENDERUN TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,İSTANBUL MEDENİYET ÜNİVERSİTESİ
Devlet Üniversiteleri,İSTANBUL TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,İSTANBUL ÜNİVERSİTESİ
Devlet Üniversiteleri,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA
Devlet Üniversiteleri,İZMİR BAKIRÇAY ÜNİVERSİTESİ
Devlet Üniversiteleri,İZMİR DEMOKRASİ ÜNİVERSİTESİ
Devlet Üniversiteleri,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ
Devlet Üniversiteleri,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ
Devlet Üniversiteleri,KAFKAS ÜNİVERSİTESİ
Devlet Üniversiteleri,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ
Devlet Üniversiteleri,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ
Devlet Üniversiteleri,KARABÜK ÜNİVERSİTESİ
Devlet Üniversiteleri,KARADENİZ TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ
Devlet Üniversiteleri,KASTAMONU ÜNİVERSİTESİ
Devlet Üniversiteleri,KAYSERİ ÜNİVERSİTESİ
Devlet Üniversiteleri,KIRIKKALE ÜNİVERSİTESİ
Devlet Üniversiteleri,KIRKLARELİ ÜNİVERSİTESİ
Devlet Üniversiteleri,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ
Devlet Üniversiteleri,KİLİS 7 ARALIK ÜNİVERSİTESİ
Devlet Üniversiteleri,KOCAELİ ÜNİVERSİTESİ
Devlet Üniversiteleri,KONYA TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ
Devlet Üniversiteleri,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ
Devlet Üniversiteleri,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ
Devlet Üniversiteleri,MANİSA CELÂL BAYAR ÜNİVERSİTESİ
Devlet Üniversiteleri,MARDİN ARTUKLU ÜNİVERSİTESİ
Devlet Üniversiteleri,MARMARA ÜNİVERSİTESİ
Devlet Üniversiteleri,MERSİN ÜNİVERSİTESİ
Devlet Üniversiteleri,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ
Devlet Üniversiteleri,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ
Devlet Üniversiteleri,MUNZUR ÜNİVERSİTESİ
Devlet Üniversiteleri,MUŞ ALPARSLAN ÜNİVERSİTESİ
Devlet Üniversiteleri,NECMETTİN ERBAKAN ÜNİVERSİTESİ
Devlet Üniversiteleri,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ
Devlet Üniversiteleri,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ
Devlet Üniversiteleri,ONDOKUZ MAYIS ÜNİVERSİTESİ
Devlet Üniversiteleri,ORDU ÜNİVERSİTESİ
Devlet Üniversiteleri,ORTA DOĞU TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,OSMANİYE KORKUT ATA ÜNİVERSİTESİ
Devlet Üniversiteleri,PAMUKKALE ÜNİVERSİTESİ
Devlet Üniversiteleri,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ
Devlet Üniversiteleri,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ
Devlet Üniversiteleri,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ
Devlet Üniversiteleri,SAKARYA ÜNİVERSİTESİ
Devlet Üniversiteleri,SAMSUN ÜNİVERSİTESİ
Devlet Üniversiteleri,SELÇUK ÜNİVERSİTESİ
Devlet Üniversiteleri,SİİRT ÜNİVERSİTESİ
Devlet Üniversiteleri,SİNOP ÜNİVERSİTESİ
Devlet Üniversiteleri,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ
Devlet Üniversiteleri,SİVAS CUMHURİYET ÜNİVERSİTESİ
Devlet Üniversiteleri,SÜLEYMAN DEMİREL ÜNİVERSİTESİ
Devlet Üniversiteleri,ŞIRNAK ÜNİVERSİTESİ
Devlet Üniversiteleri,TARSUS ÜNİVERSİTESİ
Devlet Üniversiteleri,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ
Devlet Üniversiteleri,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ
Devlet Üniversiteleri,TRABZON ÜNİVERSİTESİ
Devlet Üniversiteleri,TRAKYA ÜNİVERSİTESİ
Devlet Üniversiteleri,TÜRK-ALMAN ÜNİVERSİTESİ
Devlet Üniversiteleri,UŞAK ÜNİVERSİTESİ
Devlet Üniversiteleri,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ
Devlet Üniversiteleri,YALOVA ÜNİVERSİTESİ
Devlet Üniversiteleri,YILDIZ TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,YOZGAT BOZOK ÜNİVERSİTESİ
Devlet Üniversiteleri,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ
Vakıf Üniversiteleri,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ
Vakıf Üniversiteleri,ALANYA ÜNİVERSİTESİ
Vakıf Üniversiteleri,ALTINBAŞ ÜNİVERSİTESİ
Vakıf Üniversiteleri,ANKARA BİLİM ÜNİVERSİTESİ
Vakıf Üniversiteleri,ANKARA MEDİPOL ÜNİVERSİTESİ
Vakıf Üniversiteleri,ANTALYA BELEK ÜNİVERSİTESİ
Vakıf Üniversiteleri,ANTALYA BİLİM ÜNİVERSİTESİ
Vakıf Üniversiteleri,ATILIM ÜNİVERSİTESİ
Vakıf Üniversiteleri,AVRASYA ÜNİVERSİTESİ
Vakıf Üniversiteleri,BAHÇEŞEHİR ÜNİVERSİTESİ
Vakıf Üniversiteleri,BAŞKENT ÜNİVERSİTESİ
Vakıf Üniversiteleri,BEYKOZ ÜNİVERSİTESİ
Vakıf Üniversiteleri,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ
Vakıf Üniversiteleri,BİRUNİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,ÇAĞ ÜNİVERSİTESİ
Vakıf Üniversiteleri,ÇANKAYA ÜNİVERSİTESİ
Vakıf Üniversiteleri,DEMİROĞLU BİLİM ÜNİVERSİTESİ
Vakıf Üniversiteleri,DOĞUŞ ÜNİVERSİTESİ
Vakıf Üniversiteleri,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ
Vakıf Üniversiteleri,FENERBAHÇE ÜNİVERSİTESİ
Vakıf Üniversiteleri,HALİÇ ÜNİVERSİTESİ
Vakıf Üniversiteleri,HASAN KALYONCU ÜNİVERSİTESİ
Vakıf Üniversiteleri,IŞIK ÜNİVERSİTESİ
Vakıf Üniversiteleri,İBN HALDUN ÜNİVERSİTESİ
Vakıf Üniversiteleri,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL 29 MAYIS ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL AREL ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL ATLAS ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL AYDIN ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL BEYKENT ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL BİLGİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL ESENYURT ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL GALATA ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL GEDİK ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL GELİŞİM ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL KENT ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL KÜLTÜR ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL MEDİPOL ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL OKAN ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL RUMELİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL TİCARET ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL TOPKAPI ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ
Vakıf Üniversiteleri,İSTİNYE ÜNİVERSİTESİ
Vakıf Üniversiteleri,İZMİR EKONOMİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,İZMİR TINAZTEPE ÜNİVERSİTESİ
Vakıf Üniversiteleri,KADİR HAS ÜNİVERSİTESİ
Vakıf Üniversiteleri,KAPADOKYA ÜNİVERSİTESİ
Vakıf Üniversiteleri,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,KOÇ ÜNİVERSİTESİ
Vakıf Üniversiteleri,KONYA GIDA VE TARIM ÜNİVERSİTESİ
Vakıf Üniversiteleri,KTO KARATAY ÜNİVERSİTESİ
Vakıf Üniversiteleri,LOKMAN HEKİM ÜNİVERSİTESİ
Vakıf Üniversiteleri,MALTEPE ÜNİVERSİTESİ
Vakıf Üniversiteleri,MEF ÜNİVERSİTESİ
Vakıf Üniversiteleri,MUDANYA ÜNİVERSİTESİ
Vakıf Üniversiteleri,NUH NACİ YAZGAN ÜNİVERSİTESİ
Vakıf Üniversiteleri,OSTİM TEKNİK ÜNİVERSİTESİ
Vakıf Üniversiteleri,ÖZYEĞİN ÜNİVERSİTESİ
Vakıf Üniversiteleri,PİRİ REİS ÜNİVERSİTESİ
Vakıf Üniversiteleri,SABANCI ÜNİVERSİTESİ
Vakıf Üniversiteleri,SANKO ÜNİVERSİTESİ
Vakıf Üniversiteleri,TED ÜNİVERSİTESİ
Vakıf Üniversiteleri,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ
Vakıf Üniversiteleri,TOROS ÜNİVERSİTESİ
Vakıf Üniversiteleri,TÜRK HAVA KURUMU ÜNİVERSİTESİ
Vakıf Üniversiteleri,UFUK ÜNİVERSİTESİ
Vakıf Üniversiteleri,ÜSKÜDAR ÜNİVERSİTESİ
Vakıf Üniversiteleri,YAŞAR ÜNİVERSİTESİ
Vakıf Üniversiteleri,YEDİTEPE ÜNİVERSİTESİ
Vakıf Üniversiteleri,YÜKSEK İHTİSAS ÜNİVERSİTESİ
KKTC Üniversiteleri,ADA KENT ÜNİVERSİTESİ
KKTC Üniversiteleri,AKDENİZ KARPAZ ÜNİVERSİTESİ
KKTC Üniversiteleri,ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ
KKTC Üniversiteleri,BAHÇEŞEHİR KIBRIS ÜNİVERSİTESİ
KKTC Üniversiteleri,DOĞU AKDENİZ ÜNİVERSİTESİ
KKTC Üniversiteleri,GİRNE AMERİKAN ÜNİVERSİTESİ
KKTC Üniversiteleri,GİRNE ÜNİVERSİTESİ
KKTC Üniversiteleri,KIBRIS AMERİKAN ÜNİVERSİTESİ
KKTC Üniversiteleri,KIBRIS BATI ÜNİVERSİTESİ
KKTC Üniversiteleri,KIBRIS İLİM ÜNİVERSİTESİ
KKTC Üniversiteleri,KIBRIS SAĞLIK VE TOPLUM BİLİMLERİ ÜNİVERSİTESİ
KKTC Üniversiteleri,LEFKE AVRUPA ÜNİVERSİTESİ
KKTC Üniversiteleri,RAUF DENKTAŞ ÜNİVERSİTESİ
KKTC Üniversiteleri,ULUSLARARASI FİNAL ÜNİVERSİTESİ
KKTC Üniversiteleri,ULUSLARARASI KIBRIS ÜNİVERSİTESİ
KKTC Üniversiteleri,YAKIN DOĞU ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,AZERBAYCAN DEVLET PEDAGOJİ ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,AZERBAYCAN DİLLER ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,AZERBAYCAN TIP ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,BAKÜ DEVLET ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,KIRGIZİSTAN-TÜRKİYE MANAS ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,ULUSLARARASI BALKAN ÜNİVERSİTESİ
Yurtdışı Üniversiteleri,ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ
